studentId,class
1,1K
2,9X
3,11K
4,10R
5,11W
6,10B
7,11V
8,6E
9,11U
10,9V
11,1B
12,11Z
13,5M
14,4P
15,4S
16,3T
17,3B
18,1U
19,9T
20,6W
21,9Z
22,1R
23,2S
24,3L
25,6L
26,9M
27,12Y
28,6B
29,5G
30,5H
31,9V
32,10P
33,6L
34,8K
35,7A
36,5V
37,11Q
38,8Q
39,9N
40,4C
41,11B
42,7I
43,6O
44,2B
45,7I
46,4U
47,1X
48,7K
49,7X
50,8N
51,8Q
52,9C
53,10T
54,3E
55,1E
56,3F
57,5P
58,1S
59,3L
60,5F
61,4L
62,3Y
63,11V
64,6L
65,2D
66,10T
67,7O
68,6Z
69,11W
70,12F
71,5R
72,1B
73,11O
74,12S
75,8L
76,5B
77,11U
78,1A
79,3A
80,11S
81,6Z
82,5O
83,8D
84,4F
85,8F
86,12U
87,8V
88,12C
89,4A
90,1P
91,2D
92,4O
93,1L
94,9A
95,3V
96,2O
97,7G
98,1D
99,6E
100,12O
101,11N
102,7F
103,9Y
104,12L
105,11V
106,11I
107,7U
108,9B
109,2L
110,12Y
111,1W
112,4D
113,10T
114,5H
115,10H
116,12C
117,4L
118,9P
119,5R
120,12Q
121,2F
122,7J
123,7Y
124,2H
125,2O
126,12F
127,5N
128,8I
129,2G
130,9H
131,3E
132,4J
133,4N
134,10M
135,6W
136,5X
137,5W
138,6X
139,8F
140,2B
141,2B
142,7J
143,10X
144,5M
145,12D
146,9J
147,7Y
148,9C
149,5I
150,11O
151,11V
152,3F
153,3I
154,5H
155,8G
156,12D
157,2L
158,2T
159,9P
160,9I
161,3I
162,3L
163,6Q
164,9M
165,9C
166,8W
167,7T
168,7W
169,10H
170,2N
171,3X
172,10S
173,8R
174,1P
175,1M
176,6G
177,4U
178,2Z
179,8S
180,9J
181,2X
182,9W
183,1F
184,4O
185,12H
186,4E
187,2K
188,1U
189,8Q
190,4O
191,12E
192,11D
193,5T
194,2V
195,6S
196,7L
197,1N
198,6K
199,3Q
200,12R
201,12F
202,4N
203,5K
204,8H
205,1O
206,12A
207,3N
208,6D
209,1R
210,11Z
211,5L
212,9H
213,9U
214,3G
215,6B
216,2D
217,1C
218,9P
219,1V
220,10I
221,7O
222,7U
223,7T
224,3B
225,9Q
226,7M
227,2Y
228,3C
229,2E
230,10G
231,5C
232,7L
233,10P
234,11F
235,1S
236,8O
237,2Y
238,2B
239,3R
240,10R
241,3H
242,1G
243,3F
244,11D
245,7W
246,4X
247,2A
248,2Q
249,11H
250,6K
251,3E
252,6R
253,3Q
254,8P
255,5B
256,3H
257,12L
258,6O
259,6M
260,3E
261,8H
262,7F
263,1H
264,4G
265,8Q
266,4B
267,8C
268,9I
269,4A
270,9V
271,9J
272,10N
273,4Y
274,8J
275,4R
276,6C
277,8K
278,6B
279,11M
280,4R
281,11M
282,11M
283,9P
284,11I
285,10V
286,3J
287,5Y
288,5P
289,1E
290,10C
291,1I
292,5X
293,6R
294,3O
295,11I
296,10X
297,2B
298,7K
299,8U
300,1O
301,8E
302,12Q
303,6L
304,11D
305,12U
306,9Q
307,3D
308,2N
309,12G
310,2C
311,7H
312,9Q
313,2V
314,5L
315,10L
316,9S
317,1U
318,10Z
319,12E
320,11H
321,12Q
322,7Y
323,1G
324,9I
325,5Y
326,7Y
327,8Q
328,7R
329,3W
330,5P
331,10S
332,11D
333,11U
334,3S
335,4H
336,3T
337,8R
338,6K
339,12L
340,5K
341,12O
342,6S
343,6J
344,9K
345,1S
346,5L
347,3F
348,8H
349,2T
350,8V
351,2Q
352,4Y
353,1P
354,10A
355,2A
356,4T
357,11Y
358,6I
359,2O
360,1D
361,8D
362,7E
363,9X
364,12V
365,5E
366,10Q
367,9P
368,9X
369,9R
370,5Q
371,1K
372,7F
373,3S
374,12Y
375,5I
376,4F
377,8J
378,3L
379,4Q
380,7N
381,1P
382,4I
383,2B
384,9D
385,9B
386,9H
387,5W
388,10P
389,1R
390,11E
391,11T
392,1U
393,6S
394,7F
395,1B
396,10X
397,7B
398,1O
399,4I
400,10W
401,3X
402,11H
403,2T
404,11Y
405,10A
406,10I
407,11G
408,2E
409,7N
410,8S
411,11K
412,11G
413,2C
414,6J
415,9Q
416,8C
417,7F
418,1R
419,9U
420,11F
421,11V
422,12A
423,10T
424,8D
425,10Y
426,9O
427,6Y
428,8M
429,3Y
430,7A
431,6L
432,11I
433,4T
434,4R
435,2O
436,3S
437,10J
438,7H
439,1Y
440,3D
441,7F
442,10Z
443,8B
444,8M
445,10E
446,3S
447,10X
448,6N
449,5P
450,2M
451,6R
452,12P
453,11O
454,5X
455,11X
456,11A
457,7W
458,3K
459,11C
460,3O
461,8D
462,4P
463,1P
464,3I
465,9S
466,1M
467,3R
468,5W
469,7B
470,1D
471,12K
472,10F
473,1D
474,5D
475,11D
476,12R
477,6B
478,2C
479,3H
480,2L
481,5M
482,7R
483,7E
484,10J
485,4N
486,10B
487,2M
488,1W
489,7Y
490,6D
491,7R
492,8H
493,7J
494,12E
495,8R
496,7C
497,7K
498,6K
499,5A
500,9Z
501,3U
502,3B
503,12F
504,1W
505,11R
506,11P
507,6B
508,6S
509,3K
510,5D
511,10U
512,9R
513,11A
514,6J
515,2S
516,10M
517,12Z
518,4Z
519,12I
520,1Y
521,5S
522,12B
523,8P
524,3L
525,9C
526,8V
527,8E
528,10P
529,1G
530,7Z
531,2I
532,12O
533,3S
534,3A
535,8T
536,8B
537,1T
538,6T
539,7G
540,7V
541,12Z
542,4B
543,1U
544,12R
545,1N
546,6P
547,12S
548,2N
549,8Z
550,6P
551,10C
552,3Q
553,8D
554,10C
555,9W
556,6C
557,12Z
558,8U
559,5J
560,8G
561,6L
562,11J
563,10C
564,5Y
565,3F
566,1R
567,12Y
568,1T
569,4X
570,5Y
571,4B
572,10C
573,11F
574,6W
575,3I
576,12S
577,2L
578,2L
579,6P
580,6I
581,7C
582,8N
583,7F
584,5S
585,10T
586,11O
587,12V
588,12R
589,9C
590,5A
591,9G
592,6N
593,9C
594,3P
595,9A
596,3S
597,9O
598,7Q
599,7T
600,10X
601,6Z
602,2W
603,5M
604,11V
605,4T
606,1Y
607,9M
608,10I
609,4A
610,11O
611,2H
612,11M
613,3Q
614,8D
615,8B
616,12Y
617,11N
618,7E
619,2U
620,5Y
621,8N
622,5W
623,9R
624,2X
625,5J
626,4R
627,7U
628,6K
629,4V
630,10M
631,12I
632,4N
633,2A
634,8Z
635,3I
636,9X
637,5Q
638,6O
639,7M
640,7V
641,1U
642,9Q
643,4M
644,11S
645,7M
646,11O
647,11K
648,3E
649,5X
650,4H
651,5X
652,7M
653,12W
654,2Y
655,9D
656,11M
657,8E
658,5R
659,3D
660,2K
661,8T
662,2V
663,4H
664,2R
665,6R
666,9O
667,3J
668,9J
669,8T
670,10R
671,9U
672,6J
673,7H
674,7L
675,8F
676,4N
677,11D
678,6E
679,9X
680,2M
681,6U
682,6K
683,11E
684,10F
685,7L
686,9W
687,4C
688,1F
689,6G
690,10F
691,7T
692,1B
693,10Q
694,7J
695,12Q
696,4F
697,11Y
698,12M
699,8F
700,8T
701,12T
702,12U
703,5D
704,6L
705,8J
706,12U
707,5A
708,7B
709,5W
710,3T
711,11U
712,6G
713,6E
714,5G
715,1Y
716,7Q
717,2U
718,7G
719,1X
720,6O
721,11Y
722,9H
723,11Q
724,7E
725,8U
726,10Q
727,3K
728,7T
729,4H
730,3H
731,5U
732,6V
733,12Z
734,8N
735,12U
736,9V
737,5T
738,1N
739,5C
740,8L
741,9T
742,7D
743,7K
744,1I
745,8R
746,9Y
747,9Q
748,1U
749,12W
750,8Y
751,9K
752,8Y
753,6S
754,1X
755,8C
756,7R
757,11N
758,4P
759,11Y
760,3J
761,10T
762,9I
763,10C
764,9M
765,5C
766,1Y
767,9D
768,12W
769,8F
770,12T
771,6Q
772,10F
773,12L
774,2Y
775,6F
776,11T
777,4E
778,11I
779,3U
780,4L
781,9T
782,10U
783,4P
784,4G
785,9R
786,8Q
787,12Y
788,8O
789,12J
790,9X
791,9R
792,9W
793,3H
794,7C
795,6M
796,4W
797,8R
798,1N
799,5N
800,10E
801,10I
802,1B
803,4T
804,7E
805,1M
806,2U
807,8Z
808,1C
809,6N
810,8R
811,12V
812,3J
813,7B
814,2E
815,7P
816,6D
817,3W
818,11P
819,5E
820,1M
821,3Q
822,4E
823,5C
824,9O
825,7L
826,9B
827,1T
828,1P
829,4I
830,7S
831,5V
